Ciudad;Pais;URL
Guangdong Province;Mainland China;https://aqicn.org/map/guangdong/
Henan;Mainland China;https://aqicn.org/city/china/zhengzhou/heyida/
Zhejiang;Mainland China;https://aqicn.org/map/zhejiang/
Hunan;Mainland China;https://aqicn.org/map/china/changsha/hunanshifandaxue/es/
Anhui;Mainland China;https://aqicn.org/city/hefei/es/
Jiangxi;Mainland China;https://aqicn.org/map/china/nanchang/shengwaiban/
Shandong;Mainland China;https://aqicn.org/map/shandong/
Jiangsu;Mainland China;https://aqicn.org/map/jiangsu/es/
Chongqing;Mainland China;https://aqicn.org/city/chongqing/es/
Sichuan;Mainland China;https://aqicn.org/map/china/yaan/chuannongda/
Shanghai;Mainland China;https://aqicn.org/city/shanghai/es/
Heilongjiang;Mainland China;https://aqicn.org/city/haerbin/
Fujian;Mainland China;https://aqicn.org/city/quanzhou/
Hebei;Mainland China;https://aqicn.org/map/hebei/
Shaanxi;Mainland China;https://aqicn.org/map/shanxi/
Guangxi;Mainland China;https://aqicn.org/city/nanning/
Yunnan;Mainland China;https://aqicn.org/city/kunming/es/
Tianjin;Mainland China;https://aqicn.org/city/tianjin/es/
Hainan;Mainland China;https://aqicn.org/city/china/haikou/hainandaxue/es/
Liaoning;Mainland China;https://aqicn.org/map/liaoning/
Gansu;Mainland China;https://aqicn.org/city/lanzhou/
Shanxi;Mainland China;https://aqicn.org/map/shanxi/es/
Jilin;Mainland China;https://aqicn.org/city/jilin/es/
Xinjiang;Mainland China;https://aqicn.org/map/china/wulumuqi/xinjiangnongkeyuannongchang/es/
Ningxia;Mainland China;https://aqicn.org/city/yinchuan/
Tibet;Mainland China;https://aqicn.org/city/china/lasa/xicangdaxue/
Hokkaido;Japan;https://aqicn.org/map/hokkaido/es/
Saitama;Japan;https://aqicn.org/city/saitama/es/
Chiba;Japan;https://aqicn.org/city/chiba/es/
Hyogo;Japan;https://aqicn.org/city/japan/kakogunharimamachi/harimamachiyakuba/
Fukuoka;Japan;https://aqicn.org/city/fukuoka/
Aichi;Japan;https://aqicn.org/city/japan/nagakuteshi/nagakutechugakko/
Kyoto;Japan;https://aqicn.org/city/kyoto/es/
Ishikawa;Japan;https://aqicn.org/city/japan/kahokuguntsubatamachi/tsubata/es/
Toyama;Japan;https://aqicn.org/city/japan/toyamashi/toyamaiwase/es/
Ibaraki;Japan;https://aqicn.org/city/japan/mitoshi/mitoishikawa/
Hiroshima;Japan;https://aqicn.org/map/hiroshima/es/
Gifu;Japan;https://aqicn.org/map/gifu/
Gunma;Japan;https://aqicn.org/city/japan/maebashishi/eiseikankyokenkyujo/
Fukui;Japan;https://aqicn.org/city/japan/fukuishi/fukui/es/
Shiga;Japan;https://aqicn.org/city/japan/hikoneshi/hikone/
Nara;Japan;https://aqicn.org/city/japan/kitakatsuragigunojimachi/oji/es/
Ehime;Japan;https://aqicn.org/city/japan/jinzhishi/jinzhixu/
Kochi;Japan;https://aqicn.org/map/japan/kochishi/kera/es/
Shizuoka;Japan;https://aqicn.org/city/shizuoka/
Wakayama;Japan;https://aqicn.org/city/wakayama/
Oita;Japan;https://aqicn.org/city/oita/es/
Kumamoto;Japan;https://aqicn.org/city/kumamoto/
Mie;Japan;https://aqicn.org/city/japan/iseshi/isekoseichugakko/
Araucania;Chile;
Valparaíso;Chile;
Bio Bio;Chile;
Tarapacá;Chile;
Ñuble;Chile;
Los Lagos;Chile;
Maule;Chile;
O'Higgins;Chile;
Arica y Parinacota;Chile;
Coquimbo;Chile;
Los Ríos;Chile;
Atacama;Chile;
Aysén;Chile;
Bavaria;Germany;
North Rhine-Westphalia;Germany;
Baden-Württemberg;Germany;
Lower Saxony;Germany;
Rhineland-Palatinate;Germany;
Saxony;Germany;
Hamburg;Germany;
Schleswig-Holstein;Germany;
Thuringia;Germany;
Saarland;Germany;
Saxony-Anhalt;Germany;
Bremen;Germany;
Mecklenburg-Vorpommern;Germany;
Jakarta;Indonesia;
East Java;Indonesia;
West Java;Indonesia;
Central Java;Indonesia;
South Sulawesi;Indonesia;
Banten;Indonesia;
South Sumatra;Indonesia;
South Kalimantan;Indonesia;
West Sumatra;Indonesia;
Papua;Indonesia;
West Nusa Tenggara;Indonesia;
Bali;Indonesia;
East Kalimantan;Indonesia;
North Sumatra;Indonesia;
Central Kalimantan;Indonesia;
Special Region of Yogyakarta;Indonesia;
South East Sulawesi;Indonesia;
North Kalimantan;Indonesia;
Riau Islands;Indonesia;
West Kalimantan;Indonesia;
North Sulawesi;Indonesia;
Central Sulawesi;Indonesia;
Maluku;Indonesia;
Riau;Indonesia;
West Papua;Indonesia;
North Maluku;Indonesia;
Lampung;Indonesia;
Jambi;Indonesia;
West Sulawesi;Indonesia;
East Nusa Tenggara;Indonesia;
Bengkulu;Indonesia;
Bangka Belitung Islands;Indonesia;
Gorontalo;Indonesia;
Aceh;Indonesia;
Quebec;Canada;
Alberta;Canada;
British Columbia;Canada;
Nova Scotia;Canada;
Saskatchewan;Canada;
Manitoba;Canada;
Newfoundland and Labrador;Canada;
New Brunswick;Canada;
Prince Edward Island;Canada;
Yukon;Canada;
Northwest Territories;Canada;
Nunavut;Canada;
Buenos Aires;Argentina;
Buenos Aires Province;Argentina;
Chaco Province;Argentina;
Cordoba;Argentina;
Río Negro;Argentina;
Santa Fe Province;Argentina;
Neuquen;Argentina;
Mendoza Province;Argentina;
La Rioja Province;Argentina;
Tucumán;Argentina;
Misiones Province;Argentina;
